x,y,brightness1,brightness2,locPrec,oligomerID
4708.1,3613.3,1400.2,81729,0.5639,213
4708.3,3613.5,1419.3,81640,0.56413,213
4708,3614.5,1370.9,81323,0.56538,213
4708,3614.7,1507.8,81631,0.56387,213
7426.3,360.52,15395,84685,0.51393,928
7427.5,360.96,15731,84051,0.51469,928
7426.7,361.05,15394,83964,0.51579,928
7427.1,360.55,15332,84335,0.51499,928
7425.9,360.09,15408,84929,0.51327,928
7427,361.17,15451,84447,0.51439,928
7426.7,361.24,15334,84434,0.51473,928
7426.7,359.95,15178,85204,0.51316,928
7427.6,360.46,15270,84591,0.51449,928
7427.5,360.45,15165,84487,0.51503,928
7426.2,360.32,15418,83599,0.51668,928
7426.1,360.39,15061,84335,0.51569,928
7426.5,361.5,15195,84617,0.51462,928
7427,360.73,15233,84812,0.51402,928
2726.7,7622.8,19728,23651,0.78062,859
2727.2,7624.1,20085,23858,0.77559,859
2727.8,7624.3,19936,23323,0.7817,859
2729.5,7625,19976,24045,0.7749,859
2727.4,7624.8,19806,24139,0.77557,859
2727.5,7623.6,20118,23928,0.77468,859
2727.4,7625.6,20048,23591,0.77829,859
2728.4,7624.7,19699,23692,0.7805,859
2728.4,7623.9,19762,23794,0.77902,859
1836.9,9276.9,76076,23202,0.516,149
1838.1,9276.8,75888,23224,0.51643,149
1837.8,9277.4,76472,23193,0.515,149
1838.2,9275.9,76932,23369,0.51336,149
9049.2,257.54,40175,41531,0.56879,285
9050.9,257.71,40189,41759,0.56795,285
9050.9,256.49,40247,41079,0.57011,285
9050.4,257.22,40765,41242,0.56774,285
9051.1,257.58,40276,41812,0.56746,285
9050.4,256.16,40044,41242,0.57025,285
9051.2,257.1,40018,41111,0.5708,285
9049.8,257.8,40436,41087,0.56942,285
8623.4,1757.4,41746,29618,0.60861,579
8624.4,1757.6,41413,29268,0.61154,579
8622.3,1757.8,41460,29398,0.61077,579
8623,1757.9,41183,28976,0.61381,579
8622.8,1758.2,41256,29506,0.61119,579
